Portugues,English,Pronunciation
investir,invest,
cabo,cable,
em direção a,towards,
expor,expose,
rural,rural,
AIDS,AIDS,
judeu,Jew,
estreito,narrow,
creme,cream,
secretário,secretary,
portão,gate,
sólido,solid,
colina,hill,
tipicamente,typically,
barulho,noise,
grama,grass,
infelizmente,unfortunately,
chapéu,hat,
legislação,legislation,
ter sucesso,succeed,
comemoro,celebrate,
conquista,achievement,
pescaria,fishing,
acusar,accuse,
útil,useful,
rejeitar,reject,
talento,talent,
gosto,taste,
característica,characteristic,
leite,milk,
escapar,escape,
elenco,cast,
frase,sentence,
incomum,unusual,
de perto,closely,
convencer,convince,
altura,height,
médico,physician,
avaliar,assess,
bastante,plenty,
virtualmente,virtually,
Adição,addition,
afiado,sharp,
criativo,creative,
mais baixo,lower,
aprovar,approve,
explicação,explanation,
gay,gay,
campus,campus,
apropriado,proper,
culpado,guilty,
adquirir,acquire,
competir,compete,
técnico,technical,
mais,plus,
imigrante,immigrant,
fraco,weak,
ilegal,illegal,
oi,hi,
alternativa,alternative,
interação,interaction,
coluna,column,
personalidade,personality,
sinal,signal,
currículo,curriculum,
honra,honor,
passageiro,passenger,
assistência,assistance,
para sempre,forever,
respeito,regard,
israelense,Israeli,
Associação,association,
vinte,twenty,
bater,knock,
enrolar,wrap,
laboratório,lab,
mostrar,display,
crítica,criticism,
ativo,asset,
depressão,depression,
espiritual,spiritual,
musical,musical,
jornalista,journalist,
oração,prayer,
suspeito,suspect,
estudioso,scholar,
aviso,warning,
clima,climate,
queijo,cheese,
observação,observation,
infância,childhood,
pagamento,payment,
senhor,sir,
permitir,permit,
cigarro,cigarette,
definição,definition,
prioridade,priority,
pão,bread,
criação,creation,
diplomado,graduate,
solicitar,request,
emoção,emotion,
gritar,scream,
dramático,dramatic,
universo,universe,
brecha,gap,
excelente,excellent,
profundamente,deeply,
promotor,prosecutor,
sortudo,lucky,
arrastar,drag,
CIA aérea,airline,
biblioteca,library,
agenda,agenda,
recuperar,recover,
fábrica,factory,
seleção,selection,
principalmente,primarily,
teto,roof,
impossível,unable,
despesa,expense,
iniciativa,initiative,
dieta,diet,
prender prisão,arrest,
financiamento,funding,
terapia,therapy,
lavar,wash,
agendar,schedule,
triste,sad,
apresentação,brief,
habitação,housing,
publicar,post,
comprar,purchase,
existir,existing,
aço,steel,
a respeito de,regarding,
gritar,shout,
restante,remaining,
visual,visual,
com justiça,fairly,
lasca,chip,
violento,violent,
silencioso,silent,
suponha,suppose,
auto,self,
bicicleta,bike,
chá,tea,
perceber,perceive,
comparação,comparison,
povoado,settlement,
camada,layer,
planejamento,planning,
descrição,description,
deslizar,slide,
largamente,widely,
casamento,wedding,
informar,inform,
parte,portion,
território,territory,
imediato,immediate,
adversário,opponent,
abandono,abandon,
lago,lake,
transformar,transform,
tensão,tension,
principal,leading,
irmão,bother,
consiste,consist,
álcool,alcohol,
habilitar,enable,
dobrar,bend,
economizando,saving,
deserto,desert,
podemos,shall,
erro,error,
policial,cop,
árabe,Arab,
dobro,double,
areia,sand,
Espanhol,Spanish,
imprimir,print,
preservar,preserve,
passagem,passage,
formal,formal,
transição,transition,
existência,existence,
álbum,album,
participação,participation,
arranjo,arrange,
atmosfera,atmosphere,
articulação,joint,
responder,reply,
ciclo,cycle,
oposto,opposite,
trancar,lock,
merecer,deserve,
consistente,consistent,
resistência,resistance,
descoberta,discovery,
exposição,exposure,
pose,pose,
fluxo,stream,
oferta,sale,
Panela,pot,
grande,grand,
meu,mine,
olá,hello,
aliança,coalition,
conto,tale,
faca,knife,
resolver,resolve,
racial,racial,
Estágio,phase,
piada,joke,
casaco,coat,
mexicano,Mexican,
sintoma,symptom,
fabricante,manufacturer,
filosofia,philosophy,
batata,potato,
Fundação,foundation,
citar,quote,
on-line,online,
negociação,negotiation,
urgir,urge,
ocasião,occasion,
pó,dust,
respirar,breathe,
eleger,elect,
investigador,investigator,
jaqueta,jacket,
alegre,glad,
